Word1	Word2	OntologicalClass	ExampleType	InPartition	InSplit
alcibiades	statesman	person	POS	Train	-
aldebaran	binary_star	object	POS	Train	-
aldous_huxley	writer	person	POS	Dev	79
alec_guinness	actor	person	POS	Train	-
aleksandr_solzhenitsyn	writer	person	POS	Train	-
aleppo	city	location	POS	Train	-
alessandro_manzoni	writer	person	POS	Test	77
aleutian_islands	archipelago	location	POS	Train	-
alex_haley	writer	person	POS	Train	-
alexander_archipelago	archipelago	location	POS	Train	-
alexander_calder	sculptor	person	POS	Train	-
alexander_graham_bell	inventor	person	POS	Train	-
alexander_hamilton	statesman	person	POS	Train	-
alexander_pope	poet	person	POS	Train	-
alexander_woollcott	journalist	person	POS	Train	-
alexandre_dumas	writer	person	POS	Dev	79
alexandria	city	location	POS	Train	-
alexandria	port	location	POS	Test	48
alexandria	town	location	POS	Train	-
alexis_carrel	biologist	person	POS	Train	-
alexis_carrel	surgeon	person	POS	Train	-
alexis_de_tocqueville	writer	person	POS	Train	-
alfred_binet	psychologist	person	POS	Train	-
alfred_eisenstaedt	photographer	person	POS	Train	-
alfred_kastler	physicist	person	POS	Train	-
alfred_lunt	actor	person	POS	Dev	1
alfred_nobel	chemist	person	POS	Train	-
alfred_north_whitehead	mathematician	person	POS	Train	-
alfred_noyes	poet	person	POS	Dev	47
alfred_stieglitz	photographer	person	POS	Train	-
alfred_tennyson	poet	person	POS	Train	-
alfred_the_great	king	person	POS	Train	-
alger	writer	person	POS	Train	-
algiers	port	location	POS	Train	-
algol	binary_star	object	POS	Train	-
alhambra	palace	artifact	POS	Train	-
ali_baba	fictional_character	person	POS	Train	-
alice_walker	writer	person	POS	Train	-
alicia_alonso	choreographer	person	POS	Train	-
alistair_cooke	journalist	person	POS	Train	-
allah	god	person	POS	Train	-
allegheny_mountains	range	object	POS	Dev	55
allegheny_river	river	object	POS	Train	-
allen_ginsberg	poet	person	POS	Train	-
allen_tate	poet	person	POS	Train	-
allentown	city	location	POS	Dev	11
almaty	city	location	POS	Test	7
almighty	god	person	POS	Train	-
alpena	port	location	POS	Train	-
alpena	town	location	POS	Dev	71
alpha_centauri	binary_star	object	POS	Train	-
alpha_crucis	star	object	POS	Train	-
alps	range	object	POS	Dev	55
altair	binary_star	object	POS	Train	-
altay_mountains	range	object	POS	Dev	56
alvar_aalto	architect	person	POS	Train	-
alvin_ailey	choreographer	person	POS	Train	-
amarillo	city	location	POS	Test	7
amazon_river	river	object	POS	Dev	57
ambrose	bishop	person	POS	Dev	8
ambrose	composer	person	POS	Train	-
ambrose	doctor_of_the_church	person	POS	Train	-
ambrose	father	person	POS	Train	-
ambrose	saint	person	POS	Train	-
ambrose_bierce	writer	person	POS	Train	-
amedeo_avogadro	physicist	person	POS	Train	-
amelia_earhart	aviator	person	POS	Train	-
american_falls	waterfall	object	POS	Train	-
american_revolutionary_war	revolution	act	POS	Train	-
american_samoa	district	location	POS	Dev	25
american_standard_version	bible	communication	POS	Train	-
amerigo_vespucci	navigator	person	POS	Train	-
amos	prophet	person	POS	Train	-
amur	river	object	POS	Train	-
amy_lowell	poet	person	POS	Train	-
anaheim	city	location	POS	Train	-
anarchist	emma_goldman	person	NEG	Dev	2
anarchist	kropotkin	person	NEG	Train	-
anarchist	mikhail_bakunin	person	NEG	Train	-
anarchist	sacco	person	NEG	Train	-
anarchist	tucker	person	NEG	Train	-
anatole_france	writer	person	POS	Train	-
anatolia	peninsula	location	POS	Dev	43
anaximander	astronomer	person	POS	Train	-
anchorage	city	location	POS	Train	-
andaman_sea	bay	object	POS	Train	-
anders_celsius	astronomer	person	POS	Dev	5
andes	range	object	POS	Train	-
andhra_pradesh	state	location	POS	Train	-
andre_derain	painter	person	POS	Train	-
andre_gide	playwright	person	POS	Train	-
andre_gide	writer	person	POS	Train	-
andre_maginot	politician	person	POS	Train	-
andre_malraux	writer	person	POS	Train	-
andre_maurois	writer	person	POS	Train	-
andre_weil	mathematician	person	POS	Train	-
andrea_mantegna	painter	person	POS	Train	-
andrea_palladio	architect	person	POS	Train	-
andrei_markov	mathematician	person	POS	Train	-
andrei_tarkovsky	film_producer	person	POS	Train	-
andres_segovia	composer	person	POS	Train	-
andrew_jackson	general	person	POS	Train	-
andrew_jackson	president_of_the_united_states	person	POS	Train	-
andrew_johnson	president_of_the_united_states	person	POS	Train	-
andrew_lloyd_webber	composer	person	POS	Test	19
andrew_marvell	poet	person	POS	Train	-
andrew_wyeth	painter	person	POS	Train	-
andrews	apostle	person	POS	Train	-
andrews	saint	person	POS	Train	-
andromeda	constellation	object	POS	Train	-
andrzej_wajda	film_producer	person	POS	Dev	30
andy_warhol	painter	person	POS	Train	-
angel	waterfall	object	POS	Train	-
angel_falls	waterfall	object	POS	Train	-
angelus	prayer	communication	POS	Train	-
anglesey	island	location	POS	Train	-
anguilla	island	location	POS	Test	33
anicius_manlius_severinus_boethius	statesman	person	POS	Train	-
ann_arbor	city	location	POS	Train	-
anna_howard_shaw	doctor	person	POS	Train	-
annaba	city	location	POS	Dev	11
annaba	port	location	POS	Train	-
annapolis	state_capital	location	POS	Test	65
anne_boleyn	queen	person	POS	Train	-
anne_bradstreet	poet	person	POS	Train	-
anne_bronte	writer	person	POS	Test	77
anne_hathaway	wife	person	POS	Train	-
anne_hutchinson	settler	person	POS	Train	-
anne_sexton	poet	person	POS	Train	-
antalya	city	location	POS	Train	-
antalya	port	location	POS	Train	-
antarctic_peninsula	peninsula	object	POS	Train	-
antarctica	continent	object	POS	Train	-
antares	binary_star	object	POS	Train	-
anthony_burgess	writer	person	POS	Train	-
anthony_comstock	crusader	person	POS	Train	-
anthony_hopkins	actor	person	POS	Train	-
anthony_trollope	writer	person	POS	Train	-
anthony_wayne	general	person	POS	Train	-
antigua	island	location	POS	Train	-
antigua_and_barbuda	country	location	POS	Test	22
antilles	archipelago	location	POS	Train	-
antioch	town	location	POS	Train	-
antlia	constellation	object	POS	Train	-
antofagasta	city	location	POS	Train	-
antofagasta	port	location	POS	Train	-
antoine_lavoisier	chemist	person	POS	Train	-
anton_bruckner	composer	person	POS	Train	-
anton_bruckner	organist	person	POS	Train	-
antonio_lopez_de_santa_anna	general	person	POS	Train	-
antonio_vivaldi	composer	person	POS	Train	-
antonio_vivaldi	fiddler	person	POS	Train	-
antony_tudor	choreographer	person	POS	Train	-
antwerp	city	location	POS	Train	-
antwerp	port	location	POS	Train	-
anwar_sadat	statesman	person	POS	Test	67
anzio	town	location	POS	Test	71
apalachicola_river	river	object	POS	Train	-
apeldoorn	city	location	POS	Train	-
apostle	andrews	person	NEG	Train	-
apostle	doubting_thomas	person	NEG	Train	-
apostle	john_the_evangelist	person	NEG	Dev	2
apostle	judas_iscariot	person	NEG	Test	2
apostle	levis	person	NEG	Dev	2
apostle	luke	person	NEG	Train	-
apostle	marks	person	NEG	Train	-
apostle	saint_andrew	person	NEG	Dev	2
apostle	saint_james	person	NEG	Train	-
apostle	saint_jude	person	NEG	Train	-
apostle	saint_patrick	person	NEG	Train	-
apostle	saint_paul	person	NEG	Train	-
apostle	saint_peter	person	NEG	Train	-
apostle	saint_thomas	person	NEG	Train	-
apostle	saul	person	NEG	Train	-
apostle	simon_the_zealot	person	NEG	Train	-
apostle	thomas	person	NEG	Train	-
appalachian_mountains	range	object	POS	Train	-
appleton	physicist	person	POS	Train	-
appleton	town	location	POS	Train	-
apus	constellation	object	POS	Train	-
aqaba	city	location	POS	Train	-
aquarius	constellation	object	POS	Train	-
aquarius	mansion	location	POS	Train	-
aquila	city	location	POS	Train	-
aquila	constellation	object	POS	Train	-
ara	constellation	object	POS	Train	-
arabian_desert	desert	location	POS	Train	-
arabian_peninsula	peninsula	location	POS	Train	-
arabian_sea	sea	object	POS	Test	62
arafura_sea	sea	object	POS	Dev	63
aragon	district	location	POS	Train	-
araguaia_river	river	object	POS	Train	-
aral_sea	lake	object	POS	Train	-
aram_khachaturian	composer	person	POS	Dev	20
aran_islands	island	location	POS	Train	-
arauca	river	object	POS	Train	-
arcangelo_corelli	composer	person	POS	Train	-
arcangelo_corelli	fiddler	person	POS	Train	-
archean	eon	Other	POS	Train	-
archer	mansion	location	POS	Test	39
arches_national_park	national_park	location	POS	Train	-
archibald_macleish	poet	person	POS	Dev	48
archimedes	mathematician	person	POS	Test	40
archimedes	physicist	person	POS	Dev	44
archipelago	admiralty_islands	location	NEG	Test	2
archipelago	aleutian_islands	location	NEG	Train	-
archipelago	alexander_archipelago	location	NEG	Train	-
archipelago	antilles	location	NEG	Train	-
archipelago	austral_islands	location	NEG	Train	-
archipelago	australasia	location	NEG	Train	-
archipelago	austronesia	location	NEG	Train	-
archipelago	balearic_islands	location	NEG	Dev	2
archipelago	belau	location	NEG	Dev	3
archipelago	bismarck_archipelago	location	NEG	Train	-
archipelago	caroline_islands	location	NEG	Test	2
archipelago	comoro_islands	location	NEG	Train	-
archipelago	frisian_islands	location	NEG	Train	-
archipelago	gambier_islands	location	NEG	Train	-
archipelago	gilbert_islands	location	NEG	Train	-
archipelago	greater_antilles	location	NEG	Train	-
archipelago	greater_sunda_islands	location	NEG	Train	-
archipelago	hawaiian_islands	location	NEG	Train	-
archipelago	inner_hebrides	location	NEG	Train	-
archipelago	isles_of_scilly	location	NEG	Train	-
archipelago	japanese_archipelago	location	NEG	Train	-
archipelago	leeward_islands	location	NEG	Train	-
archipelago	lesser_antilles	location	NEG	Test	3
archipelago	lesser_sunda_islands	location	NEG	Train	-
archipelago	lofoten	location	NEG	Train	-
archipelago	malay_archipelago	location	NEG	Train	-
archipelago	mariana_islands	location	NEG	Train	-
archipelago	marquesas_islands	location	NEG	Dev	3
archipelago	marshall_islands	location	NEG	Dev	3
archipelago	melanesia	location	NEG	Train	-
archipelago	micronesia	location	NEG	Dev	3
archipelago	oceania	location	NEG	Train	-
archipelago	orkney_islands	location	NEG	Train	-
archipelago	outer_hebrides	location	NEG	Train	-
archipelago	palau	location	NEG	Train	-
archipelago	philippines	location	NEG	Dev	3
archipelago	polynesia	location	NEG	Dev	3
archipelago	ryukyu_islands	location	NEG	Train	-
archipelago	shetland_islands	location	NEG	Train	-
archipelago	society_islands	location	NEG	Train	-
archipelago	solomon_islands	location	NEG	Dev	4
archipelago	solomons	location	NEG	Train	-
archipelago	sunda_islands	location	NEG	Train	-
archipelago	svalbard	location	NEG	Dev	4
archipelago	tierra_del_fuego	location	NEG	Train	-
archipelago	tuvalu	location	NEG	Train	-
archipelago	volcano_islands	location	NEG	Train	-
archipelago	western_isles	location	NEG	Train	-
archipelago	windward_islands	location	NEG	Train	-
architect	adams	person	NEG	Train	-
architect	adolf_loos	person	NEG	Train	-
architect	albert_speer	person	NEG	Train	-
architect	alvar_aalto	person	NEG	Train	-
architect	andrea_palladio	person	NEG	Train	-
architect	buckminster_fuller	person	NEG	Dev	4
architect	bullfinch	person	NEG	Train	-
architect	burnham	person	NEG	Train	-
architect	carrere	person	NEG	Train	-
architect	cass_gilbert	person	NEG	Train	-
architect	charles_follen_mckim	person	NEG	Train	-
architect	delorme	person	NEG	Train	-
architect	donato_bramante	person	NEG	Test	3
architect	edward_durell_stone	person	NEG	Train	-
architect	eero_saarinen	person	NEG	Train	-
architect	eliel_saarinen	person	NEG	Dev	4
architect	filippo_brunelleschi	person	NEG	Train	-
architect	francois_mansart	person	NEG	Train	-
architect	frank_lloyd_wright	person	NEG	Train	-
architect	garnier	person	NEG	Dev	4
architect	gaudi	person	NEG	Train	-
architect	gilbert	person	NEG	Dev	4
architect	giotto_di_bondone	person	NEG	Train	-
architect	hendrik_petrus_berlage	person	NEG	Train	-
architect	henri_labrouste	person	NEG	Train	-
architect	henry_hobson_richardson	person	NEG	Train	-
architect	hunt	person	NEG	Train	-
architect	inigo_jones	person	NEG	Train	-
architect	james_wyatt	person	NEG	Train	-
architect	jenny	person	NEG	Train	-
architect	john_vanbrugh	person	NEG	Train	-
architect	josef_hoffmann	person	NEG	Train	-
architect	joseph_paxton	person	NEG	Train	-
architect	kenzo_tange	person	NEG	Train	-
architect	latrobe	person	NEG	Train	-
architect	le_corbusier	person	NEG	Train	-
architect	leonardo_da_vinci	person	NEG	Train	-
architect	louis_sullivan	person	NEG	Train	-
architect	ludwig_mies_van_der_rohe	person	NEG	Dev	5
architect	maya_lin	person	NEG	Train	-
architect	michelangelo	person	NEG	Train	-
architect	otto_wagner	person	NEG	Train	-
architect	peter_behrens	person	NEG	Test	3
architect	pier_luigi_nervi	person	NEG	Dev	5
architect	richard_morris_hunt	person	NEG	Train	-
architect	richard_upjohn	person	NEG	Train	-
architect	robert_adam	person	NEG	Train	-
architect	robert_mills	person	NEG	Train	-
architect	robert_venturi	person	NEG	Train	-
architect	stanford_white	person	NEG	Train	-
architect	stone	person	NEG	Train	-
architect	thomas_hastings	person	NEG	Train	-
architect	victor_horta	person	NEG	Train	-
architect	walter_gropius	person	NEG	Train	-
architect	white	person	NEG	Train	-
architect	william_butterfield	person	NEG	Train	-
architect	william_chambers	person	NEG	Train	-
architect	william_strickland	person	NEG	Dev	5
architect	william_thornton	person	NEG	Train	-
architect	wren	person	NEG	Train	-
architect	wright	person	NEG	Test	3
archpriest	desmond_tutu	person	NEG	Dev	5
archpriest	james_ussher	person	NEG	Dev	5
archpriest	newman	person	NEG	Train	-
archpriest	richelieu	person	NEG	Train	-
archpriest	william_of_wykeham	person	NEG	Train	-
ardennes	plateau	location	POS	Train	-
areopagus	hill	location	POS	Train	-
arequipa	city	location	POS	Test	7
argonaut	fictional_character	person	POS	Test	27
argos	city	location	POS	Train	-
argos	constellation	object	POS	Train	-
argun_river	river	object	POS	Train	-
aries	constellation	object	POS	Train	-
aries	mansion	location	POS	Train	-
aristarchus_of_samos	astronomer	person	POS	Test	4
aristide_maillol	sculptor	person	POS	Dev	62
aristophanes	playwright	person	POS	Dev	46
arkansas_river	river	object	POS	Test	56
arlington	city	location	POS	Train	-
arnhem	city	location	POS	Train	-
arno_river	river	object	POS	Train	-
arnold_gesell	psychologist	person	POS	Train	-
arnold_palmer	golfer	person	POS	Train	-
arnold_schoenberg	composer	person	POS	Train	-
arnold_toynbee	historian	person	POS	Train	-
art_tatum	jazzman	person	POS	Train	-
artaxerxes	king	person	POS	Train	-
arthur	president_of_the_united_states	person	POS	Train	-
arthur_conan_doyle	writer	person	POS	Train	-
arthur_fiedler	conductor	person	POS	Dev	21
arthur_garfield_hays	lawyer	person	POS	Dev	37
arthur_honegger	composer	person	POS	Train	-
arthur_koestler	writer	person	POS	Test	78
arthur_laffer	economist	person	POS	Train	-
arthur_marx	comedian	person	POS	Dev	19
arthur_miller	playwright	person	POS	Dev	46
arthur_rimbaud	poet	person	POS	Train	-
arthur_symons	poet	person	POS	Dev	48
artie_shaw	bandleader	person	POS	Train	-
artist	al_hirschfeld	person	NEG	Train	-
artist	edward_lear	person	NEG	Train	-
artist	jasper_johns	person	NEG	Test	3
artist	jean_arp	person	NEG	Train	-
artist	john_james_audubon	person	NEG	Train	-
artist	louis_comfort_tiffany	person	NEG	Train	-
artist	marcel_duchamp	person	NEG	Train	-
artur_schnabel	composer	person	POS	Train	-
artur_schnabel	pianist	person	POS	Train	-
arturo_toscanini	conductor	person	POS	Train	-
aruba	island	location	POS	Test	33
asahikawa	city	location	POS	Train	-
asaph_hall	astronomer	person	POS	Dev	6
asheville	town	location	POS	Train	-
ashton	choreographer	person	POS	Train	-
ashur	city	location	POS	Train	-
ashurbanipal	king	person	POS	Dev	35
asia	continent	object	POS	Train	-
aspinwall	city	location	POS	Test	7
aspinwall	port	location	POS	Train	-
assam	state	location	POS	Test	65
assault	thoroughbred	Other	POS	Dev	70
assur	city	location	POS	Test	7
asterism	big_dipper	object	NEG	Train	-
asterism	little_dipper	object	NEG	Train	-
asterism	plough	object	NEG	Test	3
asterism	wagon	object	NEG	Train	-
asterism	wain	object	NEG	Train	-
astor	politician	person	POS	Train	-
astrakhan	city	location	POS	Test	8
astronaut	alan_shepard	person	NEG	Train	-
astronaut	john_glenn	person	NEG	Train	-
astronaut	neil_armstrong	person	NEG	Train	-
astronaut	valentina_tereshkova	person	NEG	Test	4
astronaut	yuri_gagarin	person	NEG	Train	-
astronomer	anaximander	person	NEG	Train	-
astronomer	anders_celsius	person	NEG	Dev	5
astronomer	aristarchus_of_samos	person	NEG	Test	4
astronomer	asaph_hall	person	NEG	Dev	6
astronomer	benjamin_peirce	person	NEG	Dev	6
astronomer	bessel	person	NEG	Train	-
astronomer	clyde_tombaugh	person	NEG	Train	-
astronomer	david_rittenhouse	person	NEG	Train	-
astronomer	eddington	person	NEG	Train	-
astronomer	edmond_halley	person	NEG	Dev	6
astronomer	eratosthenes	person	NEG	Train	-
astronomer	galileo_galilei	person	NEG	Test	4
astronomer	george_ellery_hale	person	NEG	Train	-
astronomer	gerard_kuiper	person	NEG	Test	4
astronomer	hale	person	NEG	Test	4
astronomer	hall	person	NEG	Dev	6
astronomer	harlow_shapley	person	NEG	Train	-
astronomer	henry_norris_russell	person	NEG	Train	-
astronomer	hipparchus	person	NEG	Train	-
astronomer	huggins	person	NEG	Train	-
astronomer	johannes_kepler	person	NEG	Train	-
astronomer	john_herschel	person	NEG	Train	-
astronomer	langley	person	NEG	Train	-
astronomer	laplace	person	NEG	Train	-
astronomer	lovell	person	NEG	Train	-
astronomer	maria_mitchell	person	NEG	Train	-
astronomer	nathaniel_bowditch	person	NEG	Dev	6
astronomer	nicolaus_copernicus	person	NEG	Train	-
astronomer	omar_khayyam	person	NEG	Train	-
astronomer	percival_lowell	person	NEG	Train	-
astronomer	ptolemy	person	NEG	Train	-
astronomer	regiomontanus	person	NEG	Train	-
astronomer	schiaparelli	person	NEG	Train	-
astronomer	simon_newcomb	person	NEG	Train	-
astronomer	thales	person	NEG	Train	-
astronomer	tycho_brahe	person	NEG	Train	-
astronomer	willem_de_sitter	person	NEG	Dev	6
astronomer	william_herschel	person	NEG	Train	-
asuncion	port	location	POS	Train	-
aswan	city	location	POS	Train	-
athens	town	location	POS	Dev	71
athlete	babe_zaharias	person	NEG	Train	-
athlete	bob_mathias	person	NEG	Train	-
athlete	dick_fosbury	person	NEG	Train	-
athlete	jesse_owens	person	NEG	Train	-
athlete	jim_thorpe	person	NEG	Train	-
athol_fugard	playwright	person	POS	Train	-
atlanta	state_capital	location	POS	Train	-
atlantic_city	city	location	POS	Train	-
atlas	titan	person	POS	Train	-
atlas_mountains	range	object	POS	Dev	56
attica	district	location	POS	Train	-
attila_the_hun	king	person	POS	Train	-
auckland	city	location	POS	Train	-
auckland	port	location	POS	Test	48
august_ferdinand_mobius	mathematician	person	POS	Train	-
august_strindberg	playwright	person	POS	Train	-
augusta	city	location	POS	Train	-
augusta	state_capital	location	POS	Dev	67
auguste_rodin	sculptor	person	POS	Test	61
augustus	roman_emperor	person	POS	Train	-
augustus	statesman	person	POS	Train	-
auriga	constellation	object	POS	Train	-
austerlitz	town	location	POS	Train	-
austin	state_capital	location	POS	Train	-
austral_islands	archipelago	location	POS	Train	-
australasia	archipelago	location	POS	Train	-
australian_alps	range	object	POS	Train	-
austronesia	archipelago	location	POS	Train	-
averroes	doctor	person	POS	Train	-
averroes	lawyer	person	POS	Train	-
avesta	religious_text	communication	POS	Train	-
aviator	amelia_earhart	person	NEG	Train	-
aviator	charles_lindbergh	person	NEG	Dev	7
aviator	floyd_bennett	person	NEG	Dev	7
aviator	howard_hughes	person	NEG	Train	-
aviator	jacqueline_cochran	person	NEG	Test	4
aviator	jimmy_doolittle	person	NEG	Dev	7
aviator	louis_bleriot	person	NEG	Train	-
aviator	wiley_post	person	NEG	Train	-
aviator	william_mitchell	person	NEG	Train	-
avicenna	doctor	person	POS	Train	-
avignon	town	location	POS	Train	-
avon	county	location	POS	Train	-
avon	river	object	POS	Train	-
ayn_rand	writer	person	POS	Train	-
ayr	port	location	POS	Train	-
ayr	town	location	POS	Train	-
azores	island	location	POS	Train	-
babar	fictional_character	person	POS	Train	-
babe_zaharias	athlete	person	POS	Train	-
babylon	city	location	POS	Train	-
badlands_national_park	national_park	location	POS	Train	-
baffin_bay	sea	object	POS	Train	-
baffin_island	island	location	POS	Train	-
bahia_blanca	city	location	POS	Train	-
bahia_blanca	port	location	POS	Dev	51
bahrain_island	island	location	POS	Train	-
baja_california	peninsula	object	POS	Test	43
bakersfield	city	location	POS	Train	-
baku	port	location	POS	Test	48
balance	mansion	location	POS	Train	-
balearic_islands	archipelago	location	POS	Dev	2
balfour	statesman	person	POS	Train	-
bali	island	location	POS	Train	-
balkan_mountains	range	object	POS	Train	-
balkan_wars	war	act	POS	Train	-
balkans	peninsula	location	POS	Train	-
baltic_sea	sea	object	POS	Train	-
baltimore	city	location	POS	Test	8
baltimore	port	location	POS	Train	-
bam	city	location	POS	Train	-
